Filename                                                                         :         CODE         DATA
csl_wiz16m_cs_refclk156p25MHz_20b_XAUI_cmn_multilink_pll0.oe66                   :           64            0
csl_wiz16m_cs_refclk156p25MHz_20b_XAUI_cmn_multilink_pll1.oe66                   :           96            0
csl_wiz16m_cs_refclk156p25MHz_20b_XAUI_cmn_pll_multilink_pll0.oe66               :          128            0
csl_wiz16m_cs_refclk156p25MHz_20b_XAUI_cmn_pll_multilink_pll1.oe66               :           96            0
csl_wiz16m_cs_refclk156p25MHz_20b_XAUI_ln_multilink_pll0.oe66                    :          608            0
csl_wiz16m_cs_refclk156p25MHz_20b_XAUI_ln_multilink_pll1.oe66                    :          640            0
csl_wiz16m_ct_20b_SGMII_cmn.oe66                                                 :          448            0
csl_wiz16m_ct_refclk100MHz_20b_SGMII_QSGMII_cmn_pll_all_vco.oe66                 :           32            0
csl_wiz16m_ct_refclk100MHz_20b_SGMII_QSGMII_cmn_pll1_all_vco.oe66                :           32            0
csl_wiz16m_ct_refclk156p25MHz_20b_XAUI_cmn_pll_6p25G_vco.oe66                    :          224            0
csl_wiz16m_ct_refclk156p25MHz_20b_XAUI_cmn_pll_all_vco.oe66                      :          128            0
csl_wiz16m_ct_refclk156p25MHz_20b_XAUI_cmn_pll1_6p25G_vco.oe66                   :          224            0
csl_wiz16m_ct_refclk156p25MHz_20b_XAUI_cmn_pll1_all_vco.oe66                     :          128            0
csl_wiz16m_ct_20b_XAUI_cmn.oe66                                                  :          352            0
csl_wiz16m_ct_refclk156p25MHz_refclk_related.oe66                                :          416            0
csl_wiz16m_cs_refclk19p2MHz_32b_PCIe.oe66                                        :          992            0
csl_wiz16m_cs_refclk19p2MHz_20b_SGMII.oe66                                       :          864            0
csl_wiz16m_cs_refclk19p2MHz_20b_USB.oe66                                         :         5664            0
csl_wiz16m_cs_refclk19p2MHz_20b_QSGMII.oe66                                      :          928            0
csl_wiz16m_cs_refclk156p25MHz_32b_XFI.oe66                                       :          992            0
csl_wiz16m_cs_refclk100MHz_32b_PCIe_cmn_pll_no_ssc_multilink_pll0.oe66           :           96            0
csl_wiz16m_cs_refclk100MHz_32b_PCIe_ln_no_ssc_multilink_pll0.oe66                :           64            0
csl_wiz16m_cs_refclk100MHz_20b_QSGMII_cmn_multilink_pll1_opt2.oe66               :          128            0
csl_wiz16m_cs_refclk100MHz_20b_QSGMII_ln_multilink_pll1_opt2.oe66                :          672            0
csl_cpsgmii.oe66                                                                 :          960            0
ecap.oe66                                                                        :         1312            0
csl_vtm.oe66                                                                     :         5472           56
csl_vtm_pvt_sensor.oe66                                                          :         3296         8212
csl_cpgmac_sl.oe66                                                               :         3840            0
csl_slv_tog.oe66                                                                 :         1568            0
csl_pbist.oe66                                                                   :          416            0
csl_lbist.oe66                                                                   :          832            0
csl_psc.oe66                                                                     :          800            0
csl_pok.oe66                                                                     :         1600            0
csl_pokId2Addr.oe66                                                              :         1600          136
